description,item,first_word,second_word,item_shorthand_desc,sentence_word_match,sentence_word_source,sentence_word_score,sentence_word_match_Q,sentence_word_source_Q,sentence_word_score_Q,shorthand_word_match,shorthand_word_source,shorthand_word_score,shorthand_word_match_Q,shorthand_word_source_Q,shorthand_word_score_Q,max_score,best_source,best_match,portion_size
"Gluten free baguette, ciabatta, panini, sub: not specified type so includes white, brown or with added fibre",bread_baguette_gf_unanswered,bread,baguette,bread baguette gf unanswered,White bread (not high fibre; not multiseed bread) total,eustachio,46.92448079586029,Other bread,scheelbeek,82.47666358947754,BREAD PLAIN**,petersson,54.175323247909546,Other bread,scheelbeek,78.96715403,82.47666358947754,sentence_word_score_Q,Other bread,
"Gluten free baguette, ciabatta, panini, sub: white",bread_baguette_gf_white,bread,baguette,bread baguette gf white,"White bread (not high fibre, not multiseed)",scheelbeek,43.693360686302185,Other bread,scheelbeek,78.14418674,"White bread (not high fibre, not multiseed)",scheelbeek,60.63697338104248,"White bread (not high fibre, not multiseed)",scheelbeek,77.25273370742798,78.14418674,sentence_word_score_Q,Other bread,
"Baguette, ciabatta, panini, sub: granary, brown, high fibre white, 50/50 white and wholemeal",bread_baguette_mixed,bread,baguette,bread baguette mixed,Brown granary and wheatgerm bread,scheelbeek,52.340567111968994,Brown granary and wheatgerm bread,scheelbeek,76.07026100158691,Other bread total,eustachio,55.23390769958496,Other bread,scheelbeek,80.41307330131531,80.41307330131531,shorthand_word_score_Q,Other bread,95
"Baguette, ciabatta, panini, sub: wheatgerm, rye, white sliced",bread_baguette_other,bread,baguette,bread baguette other,Wheat & Rye (Bread),clarke,63.097983598709106,Wheat & Rye (Bread),clarke,74.39057827,Other bread,scheelbeek,70.37166357040405,Other bread,scheelbeek,86.28978133201599,86.28978133201599,shorthand_word_score_Q,Other bread,95
"Seeds for seeded bread: e.g sesame, sunflower, poppy",bread_baguette_seeded,bread,baguette,bread baguette seeded,Sunflower seeds,clarke,65.82914590835571,Sunflower seeds,clarke,74.51956272125244,"White bread (not high fibre, not multiseed)",scheelbeek,47.51233458518982,Other bread,scheelbeek,79.08774614334106,79.08774614334106,shorthand_word_score_Q,Other bread,3
Fat that is spread (medium amount) onto baguette: ticked butter but not specified amount of % fat,bread_baguette_spread_butter_dunno_med,bread,baguette,bread baguette spread butter dunno med,Low fat spread not polyunsaturated total,eustachio,52.464377880096436,Reduced fat spread (not polyunsaturated),scheelbeek,70.88773846626282,Butter,scheelbeek,56.40451908111572,BUTTER*,petersson,75.41730999946594,75.41730999946594,shorthand_word_score_Q,BUTTER*,12
Fat that is spread (thick amount) onto baguette: ticked butter but not specified amount of % fat,bread_baguette_spread_butter_dunno_thick,bread,baguette,bread baguette spread butter dunno thick,Low fat spread not polyunsaturated total,eustachio,51.555198431015015,Butter total,eustachio,70.97111940383911,Butter,scheelbeek,54.88169193267822,BUTTER*,petersson,73.52437376976013,73.52437376976013,shorthand_word_score_Q,BUTTER*,15
Fat that is spread (thin amount) onto baguette: ticked butter but not specified amount of % fat,bread_baguette_spread_butter_dunno_thin,bread,baguette,bread baguette spread butter dunno thin,Low fat spread not polyunsaturated total,eustachio,52.89651155471802,Reduced fat spread (not polyunsaturated),scheelbeek,72.37542271614075,Butter,scheelbeek,51.91911458969116,BUTTER*,petersson,73.62524867,73.62524867,shorthand_word_score_Q,BUTTER*,10
"Fat that is spread (medium amount) onto baguette: ticked butter, normal amount of % fat",bread_baguette_spread_butter_fat_med,bread,baguette,bread baguette spread butter fat med,Other vegetable fats and oils total,eustachio,50.13989806175232,Reduced fat spread (not polyunsaturated),scheelbeek,68.54590177536011,Polyunsaturated low fat spread,scheelbeek,55.350303649902344,BUTTER*,petersson,72.37365842,72.37365842,shorthand_word_score_Q,BUTTER*,12
"Fat that is spread (thick amount) onto baguette: ticked butter, normal amount of % fat",bread_baguette_spread_butter_fat_thick,bread,baguette,bread baguette spread butter fat thick,Other vegetable fats and oils total,eustachio,49.94444251060486,Butter total,eustachio,69.41323280334473,Polyunsaturated low fat spread,scheelbeek,54.39671874046326,BUTTER*,petersson,71.39506340026855,71.39506340026855,shorthand_word_score_Q,BUTTER*,15
"Fat that is spread (thin amount) onto baguette: ticked butter, normal amount of % fat",bread_baguette_spread_butter_fat_thin,bread,baguette,bread baguette spread butter fat thin,Low fat spread not polyunsaturated total,eustachio,50.30268430709839,Reduced fat spread (not polyunsaturated),scheelbeek,71.88288569450378,Polyunsaturated low fat spread,scheelbeek,56.381118297576904,Block margarine,scheelbeek,70.58559656143188,71.88288569450378,sentence_word_score_Q,Reduced fat spread (not polyunsaturated),10
"Fat that is spread (medium amount) onto baguette: ticked butter, low fat",bread_baguette_spread_butter_lowfat_med,bread,baguette,bread baguette spread butter lowfat med,Polyunsaturated low fat spread,scheelbeek,55.29349446296692,Reduced fat spread (not polyunsaturated) total,eustachio,68.48051548,Polyunsaturated low fat spread,scheelbeek,52.52014994621277,BUTTER*,petersson,67.60833859443665,68.48051548,sentence_word_score_Q,Reduced fat spread (not polyunsaturated) total,12
"Fat that is spread (thick amount) onto baguette: ticked butter, low fat",bread_baguette_spread_butter_lowfat_thick,bread,baguette,bread baguette spread butter lowfat thick,Polyunsaturated low fat spread,scheelbeek,54.38421964645386,Low fat spread not polyunsaturated,scheelbeek,67.26139187812805,Polyunsaturated low fat spread,scheelbeek,49.091655015945435,BUTTER*,petersson,69.66336965560913,69.66336965560913,shorthand_word_score_Q,BUTTER*,15
"Fat that is spread (thin amount) onto baguette: ticked butter, low fat",bread_baguette_spread_butter_lowfat_thin,bread,baguette,bread baguette spread butter lowfat thin,Polyunsaturated low fat spread,scheelbeek,54.896122217178345,Reduced fat spread (not polyunsaturated) total,eustachio,69.89624500274658,Low fat spread not polyunsaturated,scheelbeek,51.35422945022583,BUTTER*,petersson,70.35404443740845,70.35404443740845,shorthand_word_score_Q,BUTTER*,10
Fat that is spread (medium amount) onto baguette: ticked spreadable butter with normal amount of % fat,bread_baguette_spread_butter_spread_fat_med,bread,baguette,bread baguette spread butter spread fat med,Polyunsaturated low fat spread total,eustachio,54.97610569000244,Reduced fat spread (not polyunsaturated),scheelbeek,75.37416219711304,Polyunsaturated low fat spread,scheelbeek,57.87109136581421,BUTTER*,petersson,72.71426320075989,75.37416219711304,sentence_word_score_Q,Reduced fat spread (not polyunsaturated),12
Fat that is spread (thick amount) onto baguette: ticked spreadable butter with normal amount of % fat,bread_baguette_spread_butter_spread_fat_thick,bread,baguette,bread baguette spread butter spread fat thick,Polyunsaturated low fat spread,scheelbeek,54.71392869949341,Reduced fat spread (not polyunsaturated),scheelbeek,74.76570010185242,Polyunsaturated low fat spread,scheelbeek,57.122015953063965,BUTTER*,petersson,71.11195326,74.76570010185242,sentence_word_score_Q,Reduced fat spread (not polyunsaturated),15
Fat that is spread (thin amount) onto baguette: ticked spreadable butter with normal amount of % fat,bread_baguette_spread_butter_spread_fat_thin,bread,baguette,bread baguette spread butter spread fat thin,Polyunsaturated low fat spread,scheelbeek,55.86489439,Reduced fat spread (not polyunsaturated),scheelbeek,77.57474184036255,Polyunsaturated low fat spread,scheelbeek,59.4908595085144,BUTTER*,petersson,70.36920189857483,77.57474184036255,sentence_word_score_Q,Reduced fat spread (not polyunsaturated),10
"Fat that is spread (medium amount) onto baguette: ticked spreadable butter, low fat",bread_baguette_spread_butter_spread_lowfat_m,bread,baguette,bread baguette spread butter spread lowfat m,Polyunsaturated low fat spread,scheelbeek,58.14800262451172,Reduced fat spread (not polyunsaturated) total,eustachio,70.87516784667969,Polyunsaturated low fat spread total,eustachio,50.12869834899902,BUTTER*,petersson,66.47010445594788,70.87516784667969,sentence_word_score_Q,Reduced fat spread (not polyunsaturated) total,12
"Fat that is spread (thick amount) onto baguette: ticked spreadable butter, low fat",bread_baguette_spread_butter_spread_lowfat_thi,bread,baguette,bread baguette spread butter spread lowfat thi,Polyunsaturated low fat spread,scheelbeek,57.78927803039551,Low fat spread not polyunsaturated,scheelbeek,70.83111405,Polyunsaturated low fat spread,scheelbeek,53.34641933441162,BUTTER*,petersson,71.67022228240967,71.67022228240967,shorthand_word_score_Q,BUTTER*,15
"Fat that is spread (thin amount) onto baguette: ticked spreadable butter, low fat",bread_baguette_spread_butter_spread_lowfat_thi,bread,baguette,bread baguette spread butter spread lowfat thi,Polyunsaturated low fat spread,scheelbeek,58.38118195533752,Reduced fat spread (not polyunsaturated) total,eustachio,73.39175939559937,Polyunsaturated low fat spread,scheelbeek,53.34641933441162,BUTTER*,petersson,71.67022228240967,73.39175939559937,sentence_word_score_Q,Reduced fat spread (not polyunsaturated) total,10
Fat that is spread (medium amount) onto baguette: ticked dairy spread which is also cholesterol lowering e.g Benecol Buttery,bread_baguette_spread_dairy_chol_med,bread,baguette,bread baguette spread dairy chol med,Other vegetable fats and oils,scheelbeek,57.679325342178345,Low fat spread not polyunsaturated,scheelbeek,63.761138916015625,Wholemeal bread,scheelbeek,46.308279037475586,Less than 1% dairy low fat spread,scheelbeek,71.23088240623474,71.23088240623474,shorthand_word_score_Q,Less than 1% dairy low fat spread,10
Fat that is spread (thick amount) onto baguette: ticked dairy spread which is also cholesterol lowering e.g Benecol Buttery,bread_baguette_spread_dairy_chol_thick,bread,baguette,bread baguette spread dairy chol thick,Other vegetable fats and oils,scheelbeek,57.57811665534973,Low fat spread not polyunsaturated,scheelbeek,62.90515661239624,Less than 1% dairy low fat spread,scheelbeek,52.841717,Block margarine,scheelbeek,73.60615730285645,73.60615730285645,shorthand_word_score_Q,Block margarine,12
Fat that is spread (thin amount) onto baguette: ticked dairy spread which is also cholesterol lowering e.g Benecol Buttery,bread_baguette_spread_dairy_chol_thin,bread,baguette,bread baguette spread dairy chol thin,Other vegetable fats and oils,scheelbeek,57.77328610420227,Low fat spread not polyunsaturated,scheelbeek,64.12839293,Less than 1% dairy low fat spread,scheelbeek,55.06443977355957,Less than 1% dairy low fat spread,scheelbeek,73.68674874305725,73.68674874305725,shorthand_word_score_Q,Less than 1% dairy low fat spread,7
Fat that is spread (medium amount) onto baguette: ticked dairy spread but not specified amount of % fat,bread_baguette_spread_dairy_dunno_med,bread,baguette,bread baguette spread dairy dunno med,Less than 1% dairy reduced fat spread total,eustachio,65.80967307090759,Less than 1% dairy reduced fat spread,scheelbeek,75.22563934326172,Wholemeal bread,scheelbeek,51.223766803741455,Other bread,scheelbeek,75.14842153,75.22563934326172,sentence_word_score_Q,Less than 1% dairy reduced fat spread,10
Fat that is spread (thick amount) onto baguette: ticked dairy spread but not specified amount of % fat,bread_baguette_spread_dairy_dunno_thick,bread,baguette,bread baguette spread dairy dunno thick,Less than 1% dairy reduced fat spread total,eustachio,66.87343716621399,Less than 1% dairy reduced fat spread,scheelbeek,73.70439767837524,Less than 1% dairy low fat spread,scheelbeek,55.90074658,Other bread,scheelbeek,74.10572767,74.10572767,shorthand_word_score_Q,Other bread,12
Fat that is spread (thin amount) onto baguette: ticked dairy spread but not specified amount of % fat,bread_baguette_spread_dairy_dunno_thin,bread,baguette,bread baguette spread dairy dunno thin,Less than 1% dairy reduced fat spread total,eustachio,67.64064431190491,Less than 1% dairy reduced fat spread,scheelbeek,77.13283896446228,Less than 1% dairy low fat spread,scheelbeek,58.31936001777649,Other bread,scheelbeek,76.44038796424866,77.13283896446228,sentence_word_score_Q,Less than 1% dairy reduced fat spread,7
Fat that is spread (medium amount) onto baguette: ticked dairy spread with normal amount of % fat,bread_baguette_spread_dairy_fat_med,bread,baguette,bread baguette spread dairy fat med,Less than 1% dairy low fat spread,scheelbeek,64.51336145401001,Less than 1% dairy reduced fat spread,scheelbeek,75.36590099334717,Less than 1% dairy reduced fat spread,scheelbeek,59.72031354904175,Block margarine,scheelbeek,73.73209595680237,75.36590099334717,sentence_word_score_Q,Less than 1% dairy reduced fat spread,10
Fat that is spread (thick amount) onto baguette: ticked dairy spread with normal amount of % fat,bread_baguette_spread_dairy_fat_thick,bread,baguette,bread baguette spread dairy fat thick,Less than 1% dairy low fat spread,scheelbeek,65.57105184,Reduced fat spread (not polyunsaturated),scheelbeek,72.75418639183044,Less than 1% dairy reduced fat spread,scheelbeek,66.05902314186096,Block margarine,scheelbeek,71.61278725,72.75418639183044,sentence_word_score_Q,Reduced fat spread (not polyunsaturated),12
Fat that is spread (thin amount) onto baguette: ticked dairy spread with normal amount of % fat,bread_baguette_spread_dairy_fat_thin,bread,baguette,bread baguette spread dairy fat thin,Less than 1% dairy low fat spread,scheelbeek,66.72843098640442,Less than 1% dairy reduced fat spread,scheelbeek,77.04515457,Less than 1% dairy reduced fat spread,scheelbeek,69.07263398170471,Block margarine,scheelbeek,71.51814699172974,77.04515457,sentence_word_score_Q,Less than 1% dairy reduced fat spread,7
"Fat that is spread (medium amount) onto baguette: ticked dairy spread, low fat",bread_baguette_spread_dairy_lowfat_med,bread,baguette,bread baguette spread dairy lowfat med,Less than 1% dairy low fat spread,scheelbeek,60.76583266,Less than 1% dairy low fat spread,scheelbeek,74.91365075111389,Less than 1% dairy low fat spread,scheelbeek,59.70444679260254,Less than 1% dairy low fat spread,scheelbeek,74.47319626808167,74.91365075111389,sentence_word_score_Q,Less than 1% dairy low fat spread,10
"Fat that is spread (thick amount) onto baguette: ticked dairy spread, low fat",bread_baguette_spread_dairy_lowfat_thick,bread,baguette,bread baguette spread dairy lowfat thick,Less than 1% dairy low fat spread,scheelbeek,61.39875054359436,Less than 1% dairy low fat spread,scheelbeek,73.75068664550781,Less than 1% dairy low fat spread,scheelbeek,64.02219533920288,Less than 1% dairy low fat spread,scheelbeek,73.26936126,73.75068664550781,sentence_word_score_Q,Less than 1% dairy low fat spread,12
"Fat that is spread (thin amount) onto baguette: ticked dairy spread, low fat",bread_baguette_spread_dairy_lowfat_thin,bread,baguette,bread baguette spread dairy lowfat thin,Less than 1% dairy low fat spread,scheelbeek,62.09149360656738,Less than 1% dairy low fat spread,scheelbeek,76.72767639160156,Less than 1% dairy low fat spread,scheelbeek,66.06239080429077,Less than 1% dairy low fat spread,scheelbeek,74.12060499191284,76.72767639160156,sentence_word_score_Q,Less than 1% dairy low fat spread,7
"Fat that is spread (medium amount) onto baguette: ticked dairy spread, very low fat",bread_baguette_spread_dairy_vlowfat_med,bread,baguette,bread baguette spread dairy vlowfat med,Less than 1% dairy low fat spread,scheelbeek,59.89353060722351,Less than 1% dairy low fat spread,scheelbeek,73.65138530731201,Less than 1% dairy reduced fat spread total,eustachio,50.08354187011719,Less than 1% dairy low fat spread,scheelbeek,75.90658068656921,75.90658068656921,shorthand_word_score_Q,Less than 1% dairy low fat spread,10
"Fat that is spread (thick amount) onto baguette: ticked dairy spread, very low fat",bread_baguette_spread_dairy_vlowfat_thick,bread,baguette,bread baguette spread dairy vlowfat thick,Less than 1% dairy low fat spread,scheelbeek,60.46394706,Less than 1% dairy low fat spread,scheelbeek,72.09872603416443,Less than 1% dairy low fat spread,scheelbeek,55.29506206512451,Less than 1% dairy low fat spread,scheelbeek,74.42823052406311,74.42823052406311,shorthand_word_score_Q,Less than 1% dairy low fat spread,12
"Fat that is spread (thin amount) onto baguette: ticked dairy spread, very low fat",bread_baguette_spread_dairy_vlowfat_thin,bread,baguette,bread baguette spread dairy vlowfat thin,Less than 1% dairy low fat spread,scheelbeek,61.201196908950806,Less than 1% dairy low fat spread,scheelbeek,75.20953416824341,Less than 1% dairy reduced fat spread,scheelbeek,57.421791553497314,Less than 1% dairy reduced fat spread,scheelbeek,75.40619373321533,75.40619373321533,shorthand_word_score_Q,Less than 1% dairy reduced fat spread,7
"Fat that is spread (medium amount) onto baguette: not specified type of spread but ticked cholesterol lowering e.g Benecol, Flora pro active",bread_baguette_spread_dunno_chol_med,bread,baguette,bread baguette spread dunno chol med,Reduced fat spread (not polyunsaturated),scheelbeek,57.15906023979187,Low fat spread not polyunsaturated,scheelbeek,72.36459851264954,BREAD PLAIN**,petersson,49.552178382873535,Block margarine,scheelbeek,73.31790924072266,73.31790924072266,shorthand_word_score_Q,Block margarine,10
"Fat that is spread (thick amount) onto baguette: not specified type of spread but ticked cholesterol lowering e.g Benecol, Flora pro active",bread_baguette_spread_dunno_chol_thick,bread,baguette,bread baguette spread dunno chol thick,Reduced fat spread (not polyunsaturated),scheelbeek,56.84068799,Low fat spread not polyunsaturated,scheelbeek,74.14871454238892,BREAD PLAIN**,petersson,50.42159557342529,Block margarine,scheelbeek,73.29543828964233,74.14871454238892,sentence_word_score_Q,Low fat spread not polyunsaturated,12
"Fat that is spread (thin amount) onto baguette: not specified type of spread but ticked cholesterol lowering e.g Benecol, Flora pro active",bread_baguette_spread_dunno_chol_thin,bread,baguette,bread baguette spread dunno chol thin,Reduced fat spread (not polyunsaturated),scheelbeek,57.64017701148987,Low fat spread not polyunsaturated,scheelbeek,74.71208572387695,BREAD PLAIN**,petersson,50.42350888252258,Block margarine,scheelbeek,73.10575246810913,74.71208572387695,sentence_word_score_Q,Low fat spread not polyunsaturated,7
Fat that is spread (medium amount) onto baguette: not specified type of spread or amount of % fat,bread_baguette_spread_dunno_dunno_med,bread,baguette,bread baguette spread dunno dunno med,Polyunsaturated low fat spread total,eustachio,57.33349323272705,Reduced fat spread (not polyunsaturated),scheelbeek,72.79723286628723,BREAD PLAIN**,petersson,51.01252198219299,Other bread,scheelbeek,75.64135789871216,75.64135789871216,shorthand_word_score_Q,Other bread,10
Fat that is spread (thick amount) onto baguette: not specified type of spread or amount of % fat,bread_baguette_spread_dunno_dunno_thick,bread,baguette,bread baguette spread dunno dunno thick,Polyunsaturated low fat spread,scheelbeek,56.52033090591431,Reduced fat spread (not polyunsaturated),scheelbeek,72.60537744,BREAD PLAIN**,petersson,50.23900270462036,Other bread,scheelbeek,74.17764663696289,74.17764663696289,shorthand_word_score_Q,Other bread,12
Fat that is spread (thin amount) onto baguette: not specified type of spread or amount of % fat,bread_baguette_spread_dunno_dunno_thin,bread,baguette,bread baguette spread dunno dunno thin,Polyunsaturated low fat spread,scheelbeek,57.61675238609314,Reduced fat spread (not polyunsaturated),scheelbeek,73.73743653297424,BREAD PLAIN**,petersson,50.81379413604736,Other bread,scheelbeek,76.36096477508545,76.36096477508545,shorthand_word_score_Q,Other bread,7
Fat that is spread (medium amount) onto baguette: not specified type of spread but ticked normal amount % fat,bread_baguette_spread_dunno_fat_med,bread,baguette,bread baguette spread dunno fat med,Low fat spread not polyunsaturated total,eustachio,59.22240614891052,Reduced fat spread (not polyunsaturated),scheelbeek,78.21386456489563,Polyunsaturated low fat spread,scheelbeek,50.98190903663635,Block margarine,scheelbeek,71.42511606,78.21386456489563,sentence_word_score_Q,Reduced fat spread (not polyunsaturated),10
Fat that is spread (thick amount) onto baguette: not specified type of spread but ticked normal amount % fat,bread_baguette_spread_dunno_fat_thick,bread,baguette,bread baguette spread dunno fat thick,Low fat spread not polyunsaturated total,eustachio,58.52211117744446,Reduced fat spread (not polyunsaturated),scheelbeek,77.74872183799744,Polyunsaturated low fat spread,scheelbeek,52.71948575973511,Block margarine,scheelbeek,71.43743038,77.74872183799744,sentence_word_score_Q,Reduced fat spread (not polyunsaturated),12
Fat that is spread (thin amount) onto baguette: not specified type of spread but ticked normal amount % fat,bread_baguette_spread_dunno_fat_thin,bread,baguette,bread baguette spread dunno fat thin,Low fat spread not polyunsaturated,scheelbeek,59.934115409851074,Reduced fat spread (not polyunsaturated),scheelbeek,78.86147499084473,Low fat spread not polyunsaturated,scheelbeek,56.81765079498291,Other bread,scheelbeek,72.13779688,78.86147499084473,sentence_word_score_Q,Reduced fat spread (not polyunsaturated),7
Fat that is spread (medium amount) onto baguette: not specified type of spread but ticked low fat,bread_baguette_spread_dunno_lowfat_med,bread,baguette,bread baguette spread dunno lowfat med,Low fat spread not polyunsaturated,scheelbeek,63.497334718704224,Reduced fat spread (not polyunsaturated) total,eustachio,76.12062096595764,Low fat spread not polyunsaturated,scheelbeek,53.28263044,Less than 1% dairy low fat spread,scheelbeek,69.34807300567627,76.12062096595764,sentence_word_score_Q,Reduced fat spread (not polyunsaturated) total,10
Fat that is spread (thick amount) onto baguette: not specified type of spread but ticked low fat,bread_baguette_spread_dunno_lowfat_thick,bread,baguette,bread baguette spread dunno lowfat thick,Low fat spread not polyunsaturated,scheelbeek,62.86115646362305,Reduced fat spread (not polyunsaturated),scheelbeek,76.46965384483337,Low fat spread not polyunsaturated,scheelbeek,51.421403884887695,PEANUT BUTTER,petersson,69.00979280471802,76.46965384483337,sentence_word_score_Q,Reduced fat spread (not polyunsaturated),12
Fat that is spread (thin amount) onto baguette: not specified type of spread but ticked low fat,bread_baguette_spread_dunno_lowfat_thin,bread,baguette,bread baguette spread dunno lowfat thin,Low fat spread not polyunsaturated,scheelbeek,63.85003924369812,Reduced fat spread (not polyunsaturated),scheelbeek,77.32993960380554,Low fat spread not polyunsaturated,scheelbeek,56.43987655639648,Other bread,scheelbeek,69.69276070594788,77.32993960380554,sentence_word_score_Q,Reduced fat spread (not polyunsaturated),7
Fat that is spread (medium amount) onto baguette: not specified type of spread but ticked very low fat,bread_baguette_spread_dunno_vlowfat_med,bread,baguette,bread baguette spread dunno vlowfat med,Low fat spread not polyunsaturated,scheelbeek,63.69594336,Reduced fat spread (not polyunsaturated),scheelbeek,75.62308908,Wholemeal bread,scheelbeek,49.390003085136414,Other bread,scheelbeek,68.62427592277527,75.62308908,sentence_word_score_Q,Reduced fat spread (not polyunsaturated),10
Fat that is spread (thick amount) onto baguette: not specified type of spread but ticked very low fat,bread_baguette_spread_dunno_vlowfat_thick,bread,baguette,bread baguette spread dunno vlowfat thick,Low fat spread not polyunsaturated,scheelbeek,62.94598579406738,Reduced fat spread (not polyunsaturated),scheelbeek,76.30004286766052,Wholemeal bread,scheelbeek,46.56936824321747,Other bread,scheelbeek,69.68221664428711,76.30004286766052,sentence_word_score_Q,Reduced fat spread (not polyunsaturated),12
Fat that is spread (thin amount) onto baguette: not specified type of spread but ticked very low fat,bread_baguette_spread_dunno_vlowfat_thin,bread,baguette,bread baguette spread dunno vlowfat thin,Low fat spread not polyunsaturated,scheelbeek,63.90226483345032,Reduced fat spread (not polyunsaturated),scheelbeek,77.09177732467651,Low fat spread not polyunsaturated,scheelbeek,50.294697284698486,Other bread,scheelbeek,70.39412856,77.09177732467651,sentence_word_score_Q,Reduced fat spread (not polyunsaturated),7
Fat that is spread (medium amount) onto baguette: ticked hard margarine (hard block margarine in wrapper),bread_baguette_spread_hardmarg_med,bread,baguette,bread baguette spread hardmarg med,MARGARINE*,petersson,52.92099118232727,Block margarine,scheelbeek,72.78249859809875,Wholemeal bread,scheelbeek,49.32809770107269,Block margarine,scheelbeek,73.99660348892212,73.99660348892212,shorthand_word_score_Q,Block margarine,12
Fat that is spread (thick amount) onto baguette: ticked hard margarine (hard block margarine in wrapper),bread_baguette_spread_hardmarg_thick,bread,baguette,bread baguette spread hardmarg thick,MARGARINE*,petersson,53.000158071517944,Block margarine,scheelbeek,72.90959954,Wholemeal bread,scheelbeek,46.36283814907074,Wholemeal bread,scheelbeek,74.29955602,74.29955602,shorthand_word_score_Q,Wholemeal bread,15
